#{"t_start": 1636648672.3934815, "env_id": "Reacher-v2"}
r,l,t
-5.839473,5,2.393587
-4.702275,5,2.45547
-5.166214,5,2.462935
-5.117374,5,2.470159
-4.391573,5,2.477907
-5.986632,5,2.485174
-3.412749,5,2.492428
-6.927016,5,2.499685
-5.903326,5,2.506699
-5.411412,5,2.513629
-7.530587,5,2.52054
-4.822785,5,2.527426
-7.476286,5,2.53416
-6.238655,5,2.540932
-4.709402,5,2.548069
-6.936928,5,2.555424
-4.381349,5,2.562762
-6.856763,5,2.569864
-8.313075,5,2.576819
-4.63526,5,2.583726
-6.53805,5,2.590635
-5.75156,5,2.597424
-6.277469,5,2.604182
-5.37517,5,2.610962
-5.919472,5,2.617742
-6.654969,5,2.624618
