#{"t_start": 1636648820.475829, "env_id": "Reacher-v2"}
r,l,t
-8.488317,5,2.486879
-7.448535,5,2.552859
-7.567436,5,2.561135
-6.785283,5,2.569718
-8.549679,5,2.577923
-5.875817,5,2.58568
-5.061827,5,2.593482
-5.784366,5,2.601153
-4.762416,5,2.608608
-5.473934,5,2.615986
-10.664579,5,2.623377
-7.42384,5,2.630685
-6.942699,5,2.637917
-5.710739,5,2.645178
-8.167076,5,2.652314
-7.956308,5,2.659554
-5.828224,5,2.666741
-6.148588,5,2.673957
-7.393323,5,2.68115
-5.880855,5,2.688296
-5.15158,5,2.695454
-6.558666,5,2.702582
-5.560848,5,2.70981
-6.957381,5,2.716972
-5.735955,5,2.724054
-7.203623,5,2.731287
