#{"t_start": 1636646239.809061, "env_id": "IntelligentPantry-v1"}
r,l,t
-7.741248,5,5.173008
-7.168402,5,5.382992
-8.343282,5,5.577938
-6.99399,5,5.755305
-7.969093,5,5.930704
-4.742022,5,6.101439
-7.444974,5,6.273724
-9.369955,5,6.447614
-7.886778,5,6.619415
-5.537868,5,6.79284
-8.333009,5,6.969727
-5.472074,5,7.142221
-6.390913,5,7.314022
-6.875,5,7.487297
-5.457604,5,7.661204
-5.261041,5,7.833143
-6.756528,5,8.007232
-8.086097,5,8.179539
-6.146181,5,8.351364
-8.305706,5,8.523862
-6.235116,5,8.696369
-7.636042,5,8.867944
-6.430193,5,9.039873
-6.248876,5,9.222656
-8.10564,5,9.400357
-6.85501,5,9.574911
-6.558647,5,9.749359
-6.13253,5,9.926748
-5.413372,5,10.105538
-5.898499,5,10.375525
-7.072438,5,10.5515
-7.691407,5,10.731083
-7.183704,5,10.907676
-7.055737,5,11.08333
-7.024167,5,11.253485
-6.18454,5,11.428277
-8.01615,5,11.599323
-4.969994,5,11.769608
-6.844351,5,11.942959
-6.30221,5,12.114586
-6.447565,5,12.284552
-6.205471,5,12.456786
-5.142876,5,12.627362
-5.456112,5,12.796994
-6.567979,5,12.968394
-5.832367,5,13.134671
-7.304911,5,13.305416
-6.6357,5,13.474524
-5.085833,5,13.646461
-6.731065,5,13.813576
-4.986735,5,13.985615
-6.815249,5,14.156572
-6.642246,5,14.326702
-6.38323,5,14.49802
-5.013748,5,14.669585
-5.209989,5,14.840928
-5.517438,5,15.01251
-4.979349,5,15.179413
-7.890889,5,15.351026
-6.780797,5,15.519131
-9.392559,5,15.691849
-4.588189,5,15.860412
-7.975155,5,16.032005
-7.056663,5,16.197877
-7.281321,5,16.368923
-5.022764,5,16.53596
-6.977226,5,16.71076
-5.030373,5,16.88564
-6.8228,5,17.052013
-7.926384,5,17.224165
-6.894117,5,17.396823
-6.247105,5,17.568108
-9.344781,5,17.740416
-6.481903,5,17.91138
-5.693848,5,18.082442
-6.212973,5,18.255558
-6.733204,5,18.443719
-6.237871,5,18.704823
-7.521481,5,18.890123
-5.293346,5,19.063435
-7.572392,5,19.235588
-6.746107,5,19.408965
-7.288359,5,19.585639
-6.61289,5,19.783131
-7.76008,5,19.971025
-6.975715,5,20.145041
-5.633878,5,20.315394
-4.679827,5,20.514392
