#{"t_start": 1636646239.8137326, "env_id": "IntelligentPantry-v1"}
r,l,t
-3.862772,5,51.116872
-2.53647,5,51.309319
-4.572358,5,51.48031
-4.98016,5,51.675419
-2.385104,5,51.861879
-3.345553,5,52.055546
-4.30793,5,52.226946
-4.295888,5,52.412174
-2.354136,5,52.583249
-2.556927,5,52.771839
-2.941473,5,52.946673
-3.097616,5,53.151114
-2.698175,5,53.338857
-3.839598,5,53.528244
-3.934358,5,53.715559
-2.008908,5,53.902021
-4.563993,5,54.093371
-3.882113,5,54.264314
-2.1915,5,54.469759
-2.613094,5,54.652233
-2.792353,5,54.843789
-2.594101,5,55.049169
-2.857972,5,55.225768
-2.703833,5,55.397169
-3.153111,5,55.567918
-5.053747,5,55.755971
-2.628298,5,55.921367
-4.312367,5,56.101834
-3.40102,5,56.266047
-1.908257,5,56.447274
-4.08661,5,56.625342
-2.607181,5,56.802083
-1.691633,5,56.99482
-3.761422,5,57.312546
-3.443434,5,57.495502
-3.064205,5,57.666392
-3.646555,5,57.840319
-3.259673,5,58.144285
-4.467153,5,58.346788
-1.758403,5,58.535663
-2.855426,5,58.715205
-2.590883,5,58.90899
-2.930161,5,59.104204
-3.6032,5,59.324981
-1.887999,5,59.572394
-2.193163,5,59.776601
-3.3648,5,59.962149
-3.704524,5,60.157657
-3.566083,5,60.427303
-4.049846,5,60.660729
-3.067748,5,60.878913
-2.943814,5,61.06139
-3.063902,5,61.254511
-2.562075,5,61.525063
-2.563612,5,61.785778
-3.616014,5,62.034396
-2.797769,5,62.22574
-3.449453,5,62.403803
-3.778388,5,62.580348
-4.674332,5,62.792153
-2.934438,5,62.991193
-3.815146,5,63.201159
-3.828275,5,63.414557
-2.811453,5,63.65382
-2.937666,5,63.886997
-3.856729,5,64.094832
-3.999363,5,64.301694
-3.860308,5,64.502714
-3.846519,5,64.705073
-2.833824,5,64.906025
-3.427679,5,65.106788
-4.368815,5,65.305789
-3.644015,5,65.505024
-3.902297,5,65.708936
-3.806379,5,65.923942
-4.402652,5,66.130027
-2.350613,5,66.332709
-2.950727,5,66.532043
-2.590421,5,66.73441
-2.87678,5,66.936232
-4.088175,5,67.137895
-3.429402,5,67.339101
-2.509309,5,67.541922
-2.607565,5,67.750776
-2.85091,5,67.953958
-3.433408,5,68.174642
-3.891393,5,68.367609
-3.687509,5,68.569377
-2.713507,5,68.787648
-2.97166,5,68.984727
-3.06244,5,69.184351
-3.995046,5,69.383363
-2.573637,5,69.58463
-3.368923,5,69.785557
-2.925429,5,69.987959
-4.466852,5,70.188029
-3.394795,5,70.386466
-3.016306,5,70.582203
-2.69036,5,70.78464
-3.547428,5,70.979711
-2.792966,5,71.17722
-3.124971,5,71.374876
-3.869286,5,71.572549
-3.073755,5,71.773473
-3.38644,5,71.972236
-3.276121,5,72.167573
-3.993806,5,72.364759
-2.752553,5,72.561986
-3.32043,5,72.759052
-3.392753,5,72.959549
-2.433072,5,73.163028
-2.509551,5,73.36271
-2.86936,5,73.564745
-2.842614,5,73.762766
-3.677964,5,73.959077
-2.397177,5,74.158853
-2.304937,5,74.359041
-1.94382,5,74.559954
-4.077173,5,74.758025
-3.271409,5,74.960474
-2.188947,5,75.154504
-2.541644,5,75.398478
-3.406219,5,75.662607
-2.91224,5,75.87166
-3.233449,5,76.076578
-1.887917,5,76.2756
-3.00058,5,76.475042
-2.978521,5,76.685395
-1.615627,5,76.883157
-2.058863,5,77.089655
-1.806866,5,77.286044
-3.003236,5,77.485379
-2.473575,5,77.689577
-2.189988,5,77.890545
-2.516084,5,78.090219
-2.815853,5,78.288753
-2.218525,5,78.487301
-3.37444,5,78.690863
-1.502045,5,78.889411
-2.484343,5,79.086662
-2.559961,5,79.293277
-1.534926,5,79.496246
-3.552581,5,79.698766
-1.543223,5,79.899127
-2.139828,5,80.099202
-3.764546,5,80.322675
-2.671585,5,80.52175
-3.247773,5,80.738368
-3.325003,5,80.937109
-3.21788,5,81.13749
-1.290633,5,81.341357
-2.521749,5,81.538596
-3.001259,5,81.738182
-3.150707,5,81.93721
-3.833443,5,82.139673
-3.070722,5,82.336659
-3.792369,5,82.534876
-3.122811,5,82.732134
-2.982833,5,82.932742
-2.831756,5,83.128113
-2.666525,5,83.32873
-3.764206,5,83.539769
-3.428849,5,83.795073
-3.662566,5,84.003587
-3.55212,5,84.201474
-2.117807,5,84.451673
-2.486115,5,84.663543
-1.693775,5,84.868946
