#{"t_start": 1636647031.5247445, "env_id": "Reacher-v2"}
r,l,t
-6.829509,5,3.402724
-8.657766,5,3.468992
-3.97636,5,3.476443
-7.632349,5,3.485096
-5.487737,5,3.492882
-7.185161,5,3.500313
-7.582451,5,3.507656
-5.004383,5,3.515011
-8.167329,5,3.522323
-8.21407,5,3.529676
-6.106926,5,3.536911
-8.767993,5,3.544136
-4.77099,5,3.551241
-7.122694,5,3.558899
-8.082888,5,3.56622
-7.970799,5,3.573882
-7.32748,5,3.5812
-6.948148,5,3.588444
-5.358021,5,3.595761
-4.812167,5,3.602844
-5.344939,5,3.60991
-6.168473,5,3.616975
-4.274582,5,3.624478
-8.84708,5,3.631861
-5.56503,5,3.639212
-6.903569,5,3.646486
