#{"t_start": 1636648415.1225953, "env_id": "Reacher-v2"}
r,l,t
-4.392116,5,3.970092
-4.589749,5,4.041725
-6.555048,5,4.050336
-8.004767,5,4.058818
-8.560056,5,4.066933
-5.029506,5,4.07507
-6.247528,5,4.083152
-4.789368,5,4.091023
-8.82656,5,4.098835
-7.86683,5,4.106372
-6.371245,5,4.113996
-7.771186,5,4.121477
-8.373868,5,4.129072
-7.769342,5,4.136381
-7.632703,5,4.143786
-6.016681,5,4.151076
-6.326542,5,4.158526
-6.170367,5,4.165903
-7.590364,5,4.173232
-5.129522,5,4.180676
-6.906787,5,4.187975
-5.727894,5,4.195417
-5.741293,5,4.202774
-4.262393,5,4.210181
-7.272716,5,4.217512
-5.975756,5,4.224892
