#{"t_start": 1636649748.8525276, "env_id": "Reacher-v2"}
r,l,t
-6.982447,5,2.463903
-4.170611,5,2.53623
-7.280995,5,2.544878
-7.619816,5,2.554439
-7.345722,5,2.563891
-4.951222,5,2.572323
-4.870691,5,2.581608
-5.353069,5,2.589929
-5.983271,5,2.598599
-5.380557,5,2.606762
-3.425465,5,2.615206
-4.837701,5,2.623107
-7.947271,5,2.631238
-5.051115,5,2.639265
-3.653409,5,2.647335
-5.733158,5,2.655079
-5.642184,5,2.662789
-5.94983,5,2.670299
-6.541201,5,2.677997
-5.775747,5,2.685461
-5.765978,5,2.693111
-6.54727,5,2.700714
-8.478432,5,2.708444
-8.579379,5,2.715945
-5.419819,5,2.723471
-7.707792,5,2.73121
