#{"t_start": 1636125354.7060177, "env_id": "Reacher-v2"}
r,l,t
-8.658172,5,2.438914
-7.07919,5,2.512194
-7.158699,5,2.521002
-8.100941,5,2.529453
-3.247384,5,2.539013
-3.672394,5,2.547574
-4.882205,5,2.555819
-5.182605,5,2.563933
-5.174195,5,2.572798
-5.969228,5,2.581193
-9.391092,5,2.589799
-5.050327,5,2.597967
-4.078517,5,2.606184
-4.788054,5,2.613966
-9.101364,5,2.62171
-6.953781,5,2.629357
-7.954375,5,2.637524
-8.781555,5,2.645241
-6.486776,5,2.653835
-6.198109,5,2.662045
-5.952721,5,2.670081
-7.215588,5,2.677883
-5.084537,5,2.685623
-6.541593,5,2.693228
-7.527,5,2.700782
-6.514207,5,2.708552
