#{"t_start": 1636140949.7239985, "env_id": "Reacher-v2"}
r,l,t
-7.634139,5,8.856941
-6.685938,5,8.936665
-6.705501,5,8.945571
-7.706268,5,8.955296
-7.231738,5,8.963786
-7.635939,5,8.972055
-5.944311,5,8.980308
-5.071557,5,8.988444
-6.710917,5,8.997594
-6.305409,5,9.006313
-6.320835,5,9.014782
-6.9274,5,9.022976
-4.339572,5,9.030974
-8.723813,5,9.038838
-4.937473,5,9.046582
-8.986762,5,9.054219
-6.77258,5,9.061869
-7.636612,5,9.069735
-7.039842,5,9.078462
-5.331731,5,9.086499
-6.118706,5,9.09435
-6.761554,5,9.102113
-6.214855,5,9.10996
-8.260996,5,9.117713
-7.382189,5,9.125358
-6.553758,5,9.132992
