#{"t_start": 1636125152.6347902, "env_id": "Reacher-v2"}
r,l,t
-8.117933,5,2.326069
-10.177024,5,2.400121
-3.863652,5,2.408672
-6.631032,5,2.417488
-5.968905,5,2.427502
-5.264036,5,2.436066
-5.072886,5,2.445173
-4.316253,5,2.453643
-6.244443,5,2.461998
-5.511647,5,2.469925
-5.222428,5,2.477716
-6.043124,5,2.485398
-6.653813,5,2.494545
-5.684606,5,2.502666
-7.324457,5,2.511152
-6.745517,5,2.519189
-4.396759,5,2.526922
-5.914716,5,2.534531
-5.453222,5,2.542087
-5.137712,5,2.54956
-5.824888,5,2.557065
-5.820763,5,2.564827
-6.448195,5,2.572784
-6.143771,5,2.580381
-7.547638,5,2.58784
-4.923854,5,2.59525
