#{"t_start": 1636649514.6293404, "env_id": "Reacher-v2"}
r,l,t
-4.035385,5,4.417107
-4.912604,5,4.422308
-6.153152,5,4.427701
-6.432896,5,4.432756
-5.524037,5,4.437701
-7.013591,5,4.442865
-7.618404,5,4.447836
-5.396837,5,4.452671
-7.175644,5,4.457648
-5.781335,5,4.46252
-7.678166,5,4.467365
-7.636743,5,4.47227
-3.805206,5,4.477336
-7.268926,5,4.482176
-6.422924,5,4.486996
-8.328794,5,4.491919
-6.418722,5,4.496787
-8.606895,5,4.501588
-6.356665,5,4.506331
-7.331906,5,4.511474
-5.628853,5,4.516294
-7.204686,5,4.520997
-6.530984,5,4.526054
-5.040557,5,4.530897
-7.913907,5,4.535654
-5.7369,5,4.540548
-5.234838,5,4.545533
-6.250138,5,4.551226
-6.481988,5,4.556384
-3.968206,5,4.561811
-6.425625,5,4.567772
-7.388263,5,4.573113
-6.668753,5,4.578384
-7.821317,5,4.58338
-4.179938,5,4.588369
-4.86522,5,4.59359
-6.358694,5,4.598534
-7.036242,5,4.603361
-7.656631,5,4.608331
-6.330049,5,4.613193
-6.689318,5,4.618015
-3.373818,5,4.622893
-10.251094,5,4.627882
-7.063909,5,4.632755
-5.592362,5,4.637596
-5.158316,5,4.642543
-7.229818,5,4.647441
-7.111254,5,4.65222
-5.721068,5,4.657042
-6.13839,5,4.661956
-3.955063,5,4.666875
-6.2691,5,4.671756
-4.840275,5,4.676845
-6.94584,5,4.681769
-6.220876,5,4.686565
-6.310726,5,4.691497
-6.526045,5,4.696394
-6.602561,5,4.701237
-4.729056,5,4.706351
-6.976338,5,4.711446
-6.902699,5,4.716311
-9.972061,5,4.72122
-6.688006,5,4.726283
-7.089481,5,4.731191
-5.237104,5,4.736021
-6.625538,5,4.740889
-6.132975,5,4.745878
-6.433638,5,4.829214
-5.454244,5,4.837523
-3.588089,5,4.845115
-6.868612,5,4.851976
-10.263979,5,4.858165
-7.930492,5,4.863793
-4.48007,5,4.869134
-7.712162,5,4.874572
-5.055907,5,4.879925
-6.125547,5,4.885278
-7.47613,5,4.890493
-5.461172,5,4.895738
-7.555321,5,4.900884
-5.66925,5,4.906107
-6.496672,5,4.911678
-6.252536,5,4.916878
-5.515635,5,4.922051
-6.496739,5,4.927545
-6.947224,5,4.932764
-6.388843,5,4.937948
-8.630164,5,4.943205
-4.102867,5,4.948986
-6.827858,5,4.954268
-7.470031,5,4.959591
-5.700949,5,4.965192
-4.717918,5,4.970474
-4.829558,5,4.975809
-5.759297,5,4.981685
-7.309627,5,4.986915
-7.732691,5,4.992155
-3.33794,5,4.997242
-4.656028,5,5.002222
-6.560966,5,5.00748
-7.550376,5,5.012543
-4.596463,5,5.017455
-9.011698,5,5.022584
-6.583953,5,5.028121
-6.310956,5,5.033174
-7.109464,5,5.038198
-8.062898,5,5.043358
-7.766643,5,5.048373
-4.514276,5,5.053279
-7.652863,5,5.058288
-5.870159,5,5.063248
-6.847399,5,5.068219
-6.368004,5,5.073268
-6.949654,5,5.078368
-4.788513,5,5.083272
-6.872475,5,5.088207
-5.312019,5,5.093258
-6.62539,5,5.098193
-6.724149,5,5.103079
-7.507299,5,5.107969
-5.592436,5,5.112916
-3.704529,5,5.117887
-7.51021,5,5.122914
-8.37064,5,5.128303
-5.021159,5,5.133245
-6.530935,5,5.138178
-5.993054,5,5.143225
-4.98339,5,5.148806
-6.829357,5,5.154143
-4.511087,5,5.159435
-6.584054,5,5.16494
-6.278516,5,5.170228
-5.711947,5,5.17555
-7.626286,5,5.180728
-5.818313,5,5.185788
-6.731665,5,5.190847
-5.392024,5,5.19592
-5.675679,5,5.200951
-6.347208,5,5.20612
-5.985008,5,5.211375
-5.449529,5,5.216449
-6.012793,5,5.221504
-9.347839,5,5.226861
-4.679474,5,5.231967
-6.455898,5,5.237047
-3.922984,5,5.242247
-6.177138,5,5.247261
-6.095015,5,5.252287
-10.609501,5,5.257221
-7.736988,5,5.262269
-7.160602,5,5.267221
-5.681933,5,5.272289
-5.42081,5,5.277461
-6.515343,5,5.282463
-7.106758,5,5.287406
