#{"t_start": 1636649514.6293404, "env_id": "Reacher-v2"}
r,l,t
-5.299507,5,5.292415
-6.7291,5,5.297518
-9.174807,5,5.302717
-6.824392,5,5.307761
-4.551833,5,5.312786
-6.538153,5,5.317745
-9.140889,5,5.322626
-4.125804,5,5.328224
-3.557062,5,5.333392
-5.807359,5,5.338436
-6.457661,5,5.343707
-7.710448,5,5.349497
-5.335471,5,5.354865
-6.455989,5,5.360377
-6.793802,5,5.366228
-5.937911,5,5.371622
-8.11095,5,5.377201
-5.50096,5,5.382526
-7.496815,5,5.38774
-6.177578,5,5.393079
-6.650797,5,5.398264
-5.110519,5,5.403359
-7.033464,5,5.408607
-4.355614,5,5.413749
-6.565605,5,5.418835
-4.933936,5,5.424105
-8.151249,5,5.429271
-6.962979,5,5.43443
-8.589166,5,5.439734
-10.289267,5,5.445067
-7.483693,5,5.45026
-6.712337,5,5.455377
-5.575564,5,5.460776
-6.770202,5,5.465909
-6.389825,5,5.471009
-6.53928,5,5.476291
-5.142956,5,5.481423
-5.467839,5,5.486475
-6.675716,5,5.491599
-6.377854,5,5.4967
-7.665533,5,5.501721
-8.401664,5,5.506742
-6.897014,5,5.511934
-5.223632,5,5.516985
-6.079497,5,5.522045
-6.834062,5,5.541557
-6.19934,5,5.546602
-7.236386,5,5.552218
-5.631084,5,5.557558
-6.445453,5,5.562926
-7.113372,5,5.56864
-7.601948,5,5.573813
-5.405061,5,5.579497
-5.722343,5,5.584703
-9.45588,5,5.589812
-6.307257,5,5.595133
-5.872029,5,5.600142
-5.290552,5,5.605127
-6.626599,5,5.610347
-6.969596,5,5.615231
-7.340267,5,5.62007
-4.43214,5,5.625047
-4.74529,5,5.629909
-5.985925,5,5.634724
-6.226463,5,5.639642
-7.345857,5,5.644556
-5.640639,5,5.64929
-3.455957,5,5.653972
-8.130833,5,5.658801
-4.726501,5,5.663565
